Abazins	25000
Abenaki	1200
Abkhazs	200000
Aboriginal Australians	55000
Abron	120000
Abyssinians	140000
Acadians	50000
Accohannock	1
Achang	2900
Acehnese	120000
Acholi	120000
Achomawi	150
Acoma	500
Adi	1
Adyghe	60000
Aeta	1
Afar	500000
African Americans	4388413
African Hebrew Israelites of Jerusalem	500
Afrikaners	360000
Afro-American peoples of the Americas	18000000
Agaw	87400
Anyi people	250000
Aguls	3000
Ahtna	50
Aimaq	160000
Aynu	1
Aja	50000
Aka	3000
Akie	520
Ak Chin	77
Akan	2000000
Akha	45000
Akuapem	100000
Akhvakh people	800
Akyem	400000
Alabama	150
Alak	400
Albanians	700000
Aleut	1800
Algonquian	1
Aliutors	2000
Alsatians	1
Altaians	36700
Amahuaca	50
Americans	2020000
Amerasians	1
Americo-Liberians	150000
Amhara	2000000
Amish	25000
Amungme	1300
Andalusians	1750000
Andis	1
Anga	1
Anglo-Burmese	5200
Anglo-Celtic Australian	1300000
Annamites	7700000
Alawites	400000
Anuak	35000
Apaches	5600
Apinaje	184
Arabs	42200000
Aragonese	127747
Arapaho	500
Arawak	45000
Arbëreshë	10000
Archis	120
Arikara	1
Armenians	800000
Aromanians	100000
Arvanites	50000
Ashkenazi Jews	10000000
Assyrians	1700000
Atoni	60000
Asante	1000000
Asian American	1820589
Asheninka	25000
Asmat	7000
Assiniboine	350
Asturians	107689
Atacameno	200
Ati	200
Atikamekw	450
Atsina	368
Atsugewi	85
Aukstaitians	30000
Austrians	1000000
Avars	100000
Awá	30
Aymaras	200000
Ayrums	1
Azerbaijanis	22000000
Aztecs	150000
Babongo	1
Bahrainis	60000
Badui	5000
Ba Na	17445
Baggara	100000
Baguirmi	1
Bagulals	305
Bai	185806
Bai	1
Bajau	40180
Baka	5000
Bakhtiari	110000
Balinese	300000
Bakongo	1000000
Balkars	11000
Balochs	25000000
Baltic Germans	1
Bamar	3000000
Bambara	270000
Bamileke	400000
Banat Swabians	1
Banawa	15
Banda	130000
Bandjabi	1
Banjar	480000
Baoule	1
Bapou	1
Barakzai	2000000
Bariba	100000
Bartangs	300
Basarwa	9000
Bashkirs	200000
Basotho	430000
Basques	260000
Bassa	35000
Bassari	10000
Baster	2518
Batak	600000
Batak	50
Bateke	1
Bats	300
Batswana	390000
Bavarians	1253192
Bedouins	8000000
Beja	1
Belarusians	900000
Bengalis	30000000
Bemba	1
Bene Israel	6500
Berbers	5000000
Berom	1
Betamaribe	1
Bethio	1
Beti-Pahuin	332000
Bezhtas	619
Bhil	1300000
Bhotiya	2723
Biafada people	1
Bicolano	590000
Biharis	10500000
Blackfeet	3200
Black British	150000
Black Indians	18200
Bouyei	290000
Bodo	120000
Bonairean	1500
Bonan	1700
Bosniaks	300000
Botlikhs	1
Bougainvilleans	17
Boyar	1
Boyko	39
Bozo	13210
Brahui	252800
Brau	31
Bretons	1246798
Brulé	1
Bru-Van Kieu	12955
Bubi	6400
Budukhs	100
Bugis	600000
Bulang	9200
Bulgarians	9000000
Bunjevci	2151
Burgenland Croats	5000
Buryats	50000
Bushongo	1
Caddo	575
Cahuilla	127
Caingang	1
Cajun	48854
Caldoche	7172
Californio	300000
Campa	25000
Canarians	154761
Cantonese	6600000
Cape Coloured	453979
Cape Malay	20000
Castilians	650000
Caprivian	1
Caribs	300
Carinthian Slovenes	1
Catalans	800000
Catawba	260
Cayuga	8600
Cebuano	2000000
Ceylon Moors	180000
Chagga	200000
Cham	40000
Chambri	1
Chamalals	500
Chamorro	17700
Champenois	1
Chechens	170000
Chehalis	69
Chemehuevi	60
Chepang	5223
Cherokee	31604
Cheyenne	1567
Chicanos	3168900
Chickahominy	97
Chickasaw	3800
Chilcotin	410
Chileans	1709427
Chinookan	1
Chipewyan	1100
Chippewa	21971
Chitimacha	72
Chitpavan	49700
Cho Ro	2256
Choctaw	16000
Chukchansi	260
Chukchis	1576
Chulym Tatars	65
Chumash	2000
Chuncho	1
Chut	382
Chuukese people	5328
Chuvash	200000
Clayoquot	61
Coalhuiltec	1
Co Ho people	16611
Co Tu people	6158
Coast Salish	1800
Cochiti	1
Cocopah	89
Coeur d'Alene	200
Coharie	263
Coloured	453979
Colville	32
Comanche	1470
Comorian	79800
Cong	4000
Congolese people	1
Copper	1
Copt	10000000
Coquille	1
Cornish	53430
Cornish American	1000000
Cornish Australian	100000
Cossacks	3500000
Costanoan	1500
Coushatta	152
Cowichan	400
Cowlitz	200
Cree	20000
Creek	7150
Créole	1
Creole Belizean	1
Crimean Germans	300
Crimean Tatars	24820
Croats	446217
Crow	1200
Cubans	1124792
Cupeño	100
Curaçaoan	14218
Greek Cypriots	115000
Czechs	1000000
Daasanach	4806
Dadhich	1
Dai	1500000
Dakelh	1
United States	17011
Damara	10000
Danes	499698
Danezaa	100
Danmin	1
Darhad	1
Dargins	59100
Daribi	1
Daur	13239
Dayaks	2000000
De'ang	55700
Deg Hit'an	25
Degar	100000
Delaware	1600
Dena'ina	140
Dendi	19563
Derbish	1
Desana	1
Dhivehis	40000
Dhodia	1
Didos	1525
Diegueno	3000
Dinka	500000
Diola	50000
Dogon	400000
Dolgans	726
Doma	1
Dominicans	1009000
Dominican American	141470
Don Cossacks	200000
Dong	296029
Dongxiang	51380
Dorze	2800
Drung	700
Druze	1000000
Du people	1
Duala people	40000
Dungan	11000
Dutch	1722878
Dyula	1
Ebira	140000
Ecuadorian	1650000
Elema	1
Enets	23
Enga	1
English	10000000
Enxet	1700
Eshira	1
Estonians	110000
European Americans	23199237
Evens	2000
Evenki	6700
Ewe	480000
Falasha	125000
Fante	300000
Faroese	80000
Persians	5100000
Fereydan	500000
Fernandinos	1
Fijian	50000
Finns	540000
Flemish	623000
West Flemings	187
Fon	350000
Fox	400
Franco-Mauritian	2400
Réunion	1
Franconians	1
French	106000000
Frisians	150000
Fula	38000000
Fulni-o	1
Fur	74400
Ga-Adangbe	180000
Gaddi	1
Gaels	169029
Gagauz	24000
Galicians	278310
Gaoshan	49950
Garifuna/Garinagu	60000
Garo	200000
Gbaya	97000
Ge	1
Geba Buru	1
Gelao	55000
Georgian	395600
Germans	15000000
Gia Rai	33255
Giay	1
Gibraltarians	4000
Gie Trieng	1
Godoberis	300
Gogodali	1
Gongduk	210
Gorals	1
Gorani	13946
Goshute	45
Gotlanders	1
Goulaye	1
Greeks	14000000
Griqua	2000000
Gros Ventre	368
Gruzinim	18000
Guadeloupean	1
Guajajara	1947
Guarani	25740
Gujaratis	65000000
Gullah	1
Gurage	186737
Guria	1
Guru	1
Gurung	54357
Hadza	100
Haida	200
Haitian	1012378
Hakka	8000000
Haliwa-Saponi	380
Hamar	4283
Hamshenis	70000
Han Chinese	131015885
Hani	150000
Hasani	1
Hausa	4000000
Havasupai	75
Haw	1
Hawaiian	16491
Hapa	52707
